,word,count,sentiment
0,great,13274,positive
1,place,7678,positive
2,nice,6963,positive
3,location,6910,positive
4,host,5558,positive
5,clean,5483,positive
6,perfect,4501,positive
7,stay,4355,positive
8,beautiful,3859,positive
9,apament,3797,positive
10,recommend,3775,positive
11,good,3483,positive
12,amazing,3350,positive
13,lovely,2802,positive
14,helpful,2629,positive
15,everything,2587,positive
16,view,2585,positive
17,friendly,2380,positive
18,super,2229,positive
19,house,2212,positive
20,wonderful,2185,positive
21,hosts,1749,positive
22,well,1729,positive
23,comfoable,1651,positive
24,recommended,1428,positive
25,excellent,1418,positive
26,kind,1351,positive
27,communication,1152,positive
28,villa,1151,positive
29,fantastic,1116,positive
30,time,1090,positive
31,best,1037,positive
32,all,1001,positive
33,room,941,positive
34,beach,871,positive
35,pool,871,positive
36,easy,859,positive
37,hospitality,819,positive
38,loved,807,positive
39,enjoyed,795,positive
40,value,794,positive
41,welcoming,778,positive
42,located,770,positive
43,views,743,positive
44,close,740,positive
45,quiet,699,positive
46,people,659,positive
47,welcome,616,positive
48,equipped,606,positive
49,chania,574,positive
50,flat,544,positive
51,spacious,535,positive
52,family,523,positive
53,holiday,508,positive
54,awesome,507,positive
55,its,501,positive
56,experience,499,positive
57,home,495,positive
58,balcony,486,positive
59,area,484,positive
60,warm,473,positive
61,town,457,positive
62,sea,432,positive
63,money,428,positive
64,relaxing,414,positive
65,village,413,positive
66,space,413,positive
67,appament,407,positive
68,terrace,398,positive
69,little,394,positive
70,accommodation,393,positive
71,crete,391,positive
72,near,382,positive
73,peaceful,381,positive
74,need,374,positive
75,old,373,positive
76,responsive,370,positive
77,airbnb,367,positive
78,staying,358,positive
79,cozy,358,positive
80,she,354,positive
81,such,349,positive
82,garden,341,positive
83,always,340,positive
84,restaurants,337,positive
85,service,335,positive
86,modern,334,positive
87,city,327,positive
88,love,326,positive
89,maria,326,positive
90,cute,322,positive
91,perfectly,316,positive
92,spot,309,positive
93,staff,305,positive
94,enjoy,304,positive
95,charming,302,positive
96,stunning,300,positive
97,his,299,positive
98,beaches,298,positive
99,pleasant,298,positive
100,owner,292,positive
101,better,291,positive
102,help,291,positive
103,they,285,positive
104,price,285,positive
105,he,281,positive
106,extremely,275,positive
107,relax,275,positive
108,food,267,positive
109,appaement,265,positive
110,made,263,positive
111,more,261,positive
112,central,260,positive
113,bed,259,positive
114,only,258,positive
115,top,256,positive
116,no,256,positive
117,center,251,positive
118,small,250,positive
119,calm,245,positive
120,out,245,positive
121,big,242,positive
122,ever,241,positive
123,check,240,positive
124,visit,240,positive
125,rooms,238,positive
126,next,235,positive
127,studio,232,positive
128,local,228,positive
129,totally,221,positive
130,sure,221,positive
131,could,219,positive
132,go,218,positive
133,amenities,215,positive
134,night,215,positive
135,every,214,positive
136,holidays,211,positive
137,breakfast,210,positive
138,propey,210,positive
139,stylish,208,positive
140,fabulous,207,positive
141,most,206,positive
142,tips,205,positive
143,many,201,positive
144,gorgeous,201,positive
145,around,196,positive
146,outstanding,192,positive
147,kitchen,191,positive
148,superb,187,positive
149,cosy,187,positive
150,hotel,185,positive
151,decorated,184,positive
152,vacation,183,positive
153,right,178,positive
154,strongly,178,positive
155,stayed,177,positive
156,pictures,176,positive
157,recommendations,175,positive
158,happy,172,positive
159,walk,172,positive
160,bad,172,negative
161,owners,170,positive
162,delicious,170,positive
163,needed,169,positive
164,felt,168,positive
165,after,168,positive
166,apaments,166,positive
167,convenient,164,positive
168,ideal,164,positive
169,person,163,positive
170,away,162,positive
171,want,162,positive
172,friends,162,positive
173,feel,161,positive
174,beds,160,positive
175,sweet,159,positive
176,new,158,positive
177,fully,157,positive
178,gave,157,positive
179,day,157,positive
180,get,156,positive
181,restaurant,156,positive
182,two,155,positive
183,thoughtful,154,positive
184,pretty,154,positive
185,everyone,153,positive
186,hope,153,positive
187,any,153,positive
188,available,151,positive
189,cool,150,positive
190,special,149,positive
191,car,147,positive
192,quick,146,positive
193,care,144,positive
194,truly,144,positive
195,lots,143,positive
196,beautifully,143,positive
197,days,143,positive
198,swimming,142,positive
199,nearby,142,positive
200,private,142,positive
201,nikos,140,positive
202,parking,139,positive
203,water,137,positive
204,facilities,137,positive
205,week,136,positive
206,do,136,positive
207,quite,136,positive
208,anyone,134,positive
209,george,134,positive
210,shower,133,positive
211,couldnt,132,positive
212,because,131,positive
213,generous,131,positive
214,places,128,positive
215,walking,128,positive
216,accommodating,128,positive
217,overall,127,positive
218,hostess,127,positive
219,return,126,positive
220,welcomed,126,positive
221,fine,126,positive
222,exactly,125,positive
223,other,125,positive
224,bathroom,125,positive
225,hospitable,125,positive
226,trip,124,positive
227,caring,123,positive
228,find,123,positive
